Log file created at: 2014/12/30 15:22:17
Running on machine: ubuntu2
Log line format: [IWEF]mmdd hh:mm:ss.uuuuuu threadid file:line] msg
I1230 15:22:17.526716  8867 serialized_oplog_reader.hpp:119] current_table_id = 0 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.526718  8867 serialized_oplog_reader.hpp:119] current_table_id = 1 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.526721  8867 serialized_oplog_reader.hpp:119] current_table_id = 2 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.526722  8867 server.cpp:202] Read and Apply Update Done
I1230 15:22:17.527147  8867 server.cpp:236] Serializing table 2
I1230 15:22:17.527159  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.527163  8867 server.cpp:236] Serializing table 1
I1230 15:22:17.527165  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.527168  8867 server.cpp:236] Serializing table 0
I1230 15:22:17.527169  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.527186  8867 serialized_oplog_reader.hpp:57] SerializedOpLogReader Restart(), num_tables_left = 3
I1230 15:22:17.527189  8867 serialized_oplog_reader.hpp:119] current_table_id = 0 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.527191  8867 serialized_oplog_reader.hpp:119] current_table_id = 1 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.527194  8867 serialized_oplog_reader.hpp:119] current_table_id = 2 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.527196  8867 server.cpp:202] Read and Apply Update Done
I1230 15:22:17.527624  8867 server.cpp:236] Serializing table 2
I1230 15:22:17.527678  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.527683  8867 server.cpp:236] Serializing table 1
I1230 15:22:17.527684  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.527688  8867 server.cpp:236] Serializing table 0
I1230 15:22:17.527689  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
